"14169","489.891171","161.111.137.136","161.111.139.255","BROWSER","216","Get Backup List Request"
"14170","489.891240","161.111.137.136","161.111.139.255","BROWSER","216","Get Backup List Request"
"14171","489.891307","161.111.137.136","161.111.139.255","BROWSER","216","Get Backup List Request"
"14147","488.968368","161.111.139.31","161.111.139.255","UDP","102","44597  >  1003 Len=60"
"14148","488.968443","161.111.139.31","161.111.139.255","UDP","102","52685  >  3401 Len=60"
"14149","488.968493","161.111.139.31","161.111.139.255","UDP","102","35919  >  6341 Len=60"
"14150","488.968528","161.111.139.31","161.111.139.255","UDP","102","38373  >  6441 Len=60"
"14151","489.086824","161.111.137.241","255.255.255.255","UDP","82","62358  >  1947 Len=40"
"23","1.062600","161.111.139.31","161.111.139.255","UDP","108","52685  >  3401 Len=66"
"24","1.062641","161.111.139.31","161.111.139.255","UDP","108","35919  >  6341 Len=66"
